Nome;indirizzo;latitudine;longitudine;id_scheda;descrizione breve;descrizione estesa;macro zona;zona;sotto categoria;civico;cap;città;provincia;note;accessibilità;telefono;email;sito;orari generici;orario Lunedì;orario Martedì;orario Mercoledì;orario Giovedì;orario Venerdì;orario Sabato;orario Domenica;geopoint
Innovazione Urbana Lab;Palazzo d'Accursio, Piazza Maggiore;44.4939611;11.3424071;718;Urban Center Bologna, ospitato all'interno della Salaborsa è il luogo in cui puoi conoscere le principali politiche e i progetti che stanno cambiando Bologna e il territorio metropolitano;"Nel cuore di Bologna metropolitana, tra Palazzo d'Accursio e
Salaborsa, gli spazi di Innovazione Urbana Lab ti introducono a un racconto
originale della città. Seguendo il percorso, puoi attraversare e approfondire i
cambiamenti che Bologna ha vissuto da ieri a oggi e muoverti verso le traiettorie di
domani. Anche grazie alle tecnologie del Lab puoi diventare protagonista
di una narrazione inedita della città, tra cultura, politica, economia,
trasformazioni urbane e transizione ecologica. Scopri i contenuti, gli allestimenti e le tecnologie
che connotano in modo unico e in costante evoluzione i cinque ambienti del Lab:
la Galleria, un viaggio nella città del Novecento fino ai nostri giorni; il
Viale, un'immersione nei suoni e nelle immagini delle città contemporanea dei
flussi e delle connessioni; la Casa, la dimora di dati e informazioni sulla
città, da visualizzare grazie al grande plastico interattivo; lo Studio, uno
spazio di approfondimento tematico in cui ripercorrere la storia di Bologna ed
entrare nell'analisi della città che cambia; l'Officina, un'area laboratoriale
dove immaginare e contribuire alla trasformazione della città. Innovazione Urbana Lab è aperto al pubblico negli
orari di apertura di Salaborsa con ingresso dal Cortile d’Onore di
Palazzo d’Accursio, Piazza Maggiore, 6.Innovazione Urbana Lab nasce nell’ambito del
Laboratorio Aperto (finanziato dal Programma Operativo Regionale FESR Fondo
Europeo Sviluppo Regionale 2014-2020 Emilia-Romagna, Asse 6 “Città attrattive e
partecipate” Azione 2.3.1) ed è il frutto di un lavoro collettivo coordinato
dalla Fondazione per l’Innovazione Urbana e reso possibile dalla stretta
collaborazione con l’Università e con il Comune di Bologna. La Fondazione per l'Innovazione Urbana è un centro di
analisi, comunicazione, elaborazione e co-produzione sulle trasformazioni
urbane. Le attività della Fondazione per l’Innovazione Urbana nascono dalla
sinergia tra il Comune di Bologna, l'Università e altri partner cittadini con
l’obiettivo di sviluppare progetti strategici per Bologna. Dalle attività di
analisi, ricerca, ascolto e dialogo che sviluppa sul territorio, la Fondazione
propone una visione inedita della città e delle sfide sociali, ambientali e
tecnologiche che ha davanti.";Bologna;Piazza Maggiore - Indipendenza;Musei e Collezioni;6;40121;Bologna;BO;;;+39 0512194455;info@fondazioneinnovazioneurbana.it;https://www.fondazioneinnovazioneurbana.it/;lunedì: 14:30 - 20:00martedì-venerdì: 10:00 - 20:00sabato: 10:00 - 19:00;;;;;;;;44.4939611, 11.3424071
San Colombano. Collezione Tagliavini;Via Parigi;44.4967808;11.340829;720;"La collezione di strumenti musicali antichi è stata donata dal Maestro Luigi Ferdinando Tagliavini, organista e musicologo bolognese. È una raccolta unica per pregio e numero dei pezzi, che comprende: una raccolta di strumenti a fiato e popolari, risalenti ai secoli tra il XVI e il XIX; clavicordi; arpicordi; organi; clavicembali; spinette e pianoforti. Gratuito con Bologna Welcome Card";La Chiesa di San Colombano è un antichissimo complesso monastico fondato, secondo la tradizione, nel 616. Sconsacrato nel 1798, ospita oggi la collezione di strumenti musicali antichi Tagliavini e la biblioteca specializzata del musicologo bolognese Oscar Mischiati. All’interno del complesso è presente anche l’Oratorio di San Colombano, noto per i suoi cicli di affreschi seicenteschi. La Collezione, unica per pregio e numero di pezzi, abbraccia molte scuole italiane ed europee ed è costituita da settanta strumenti restaurati tra clavicordi, arpicordi, organi, clavicembali, spinette, pianoforti e una raccolta di strumenti a fiato e popolari risalenti ai secoli tra il XVI e il XIX. L’oratorio fu costruito nel 1591 e, pochi anni dopo, venne decorato da un ciclo di affreschi ispirato alle Storie della passione e al Trionfo di Cristo da un gruppo di artisti guidati da Ludovico Carracci, tra cui Guido Reni, Domenichino, Francesco Albani. Il Complesso di S. Colombano e la Collezione Tagliavini fanno parte del percorso culturale, artistico e museale di Genus Bononiae. Musei nella Città.;Bologna;Piazza Maggiore - Indipendenza;Musei e Collezioni;5;40121;Bologna;BO;;"Disabilità uditive
L’accesso non presenta particolari problemi per i disabili uditivi.
L’orientamento in autonomia richiede l’utilizzo di un supporto visivo.
Il percorso del museo segue un criterio tematico, non cronologico, ma legato alla tipologia degli strumenti esposti.
L’accesso ai contenuti richiede il supporto di materiali di approfondimento, poiché le didascalie sono ridotte al nome dello strumento o costituite da spiegazioni dal linguaggio tecnico.
L’approfondimento è possibile grazie a un touchscreen, che offre immagini ingrandibili e due percorsi possibili di lettura: il luogo e gli strumenti da ascoltare.
Le attività didattiche rientrano nell’offerta di Genus Bononiae e sono costituite da visite guidate con e per le scuole, laboratori sensoriali e pratici, escursioni, attività estive e visite spettacolo per diverse fasce di età.
Wi-fi aperto e gratuito ma con accesso tramite codice a tempo.          
Oltre a mostre temporanee, il museo organizza un ricco calendario di eventi musicali durante l’anno.
Disabilità motoria e difficoltà di movimento
Prima della porta d’ingresso, si incontrano un gradino di 7 cm e subito dopo la biglietteria per accedere alla collezione sono presenti altri due gradini di 17 cm.Segnaliamo il campanello ad un’altezza di 150cm per farsi aprire da un’entrata secondaria dotata di una pedana in legno.Il complesso è dotato di ascensore, ma le sue ridotte dimensioni non lo rendono fruibile a tutti.
Alla cripta si accede solo attraverso una scala di 13 gradini.

Per maggiori informazioni visita il sito.";+39 05119936366;sancolombano@genusbononiae.it;https://genusbononiae.it/palazzi/san-colombano/;FestivitàAperto ore 11-18 i giorni 31 marzo, 1 e 25 aprile, 1 maggio, 2 giugno;Chiuso;Chiuso;11:00 - 18:00;11:00 - 18:00;11:00 - 18:00;11:00 - 18:00;11:00 - 18:00;44.4967808, 11.340829
Arte e Arte;Via Punta, 8/3 - 40132;44.543224;11.250538;734;Galleria d'arte privata specializzata in arte moderna e contemporanea;"Fondata nel 1999, con l’intento di avvicinarsi all’opera d’arte con sguardo sempre vergine e con l’entusiasmo dell’archeologo che riporta alla luce non solo l’opera ma anche le istanze culturali ed emotive che ruotano intorno ad essa, per ora tratta maestri storici del ‘900 e artisti recenti, scegliendoli anche tra quelli non prediletti dal nostro mercato attuale; ma volgerà anche lo sguardo oltralpe, verso lo scenario europeo dell’arte nella varietà delle sue forme espressive anche meno usuali. Questo spirito socratico può sembrare presuntuoso, ma è consapevole che la ricerca è relativa a chi la compie, a i suoi limiti e anche... al suo divertimento.";Bologna;;Musei e Collezioni;;;;BO;;accesso per disabili;+ 39 349 7585110;info@arteearte.it;http://www.arteearte.it;su appuntamento;;;;;;;;44.543224, 11.250538
Chiesa di Santa Maria della Vita - Compianto sul Cristo Morto;Via Clavature, 10 - 40124;44.493407;11.344644;761;;Il complesso monumentale di Santa Maria della Vita sorge nel Quadrilatero, cuore pulsante del centro storico di Bologna. All'interno della chiesa in Barocco bolognese, la cui cupola venne disegnata dal Bibiena, è custodito il famoso Compianto sul Cristo Morto di Niccolò dell’Arca, risalente alla seconda metà del Quattrocento e definito “Urlo di pietra” da Gabriele D’Annunzio.Accanto alla chiesa l’Oratorio, in cui è possibile ammirare il gruppo scultoreo del Transito della Vergine di Alfonso Lombardi, e il Museo della Sanità e dell’Assistenza, che illustra la storia della sanità a Bologna attraverso strumenti sanitari e materiali scientifici, dipinti e arredi.;Bologna;;Edifici Religiosi;;;;BO;;"Disabilità uditive
Il museo è all’interno di una chiesa consacrata che deve rispettare anche i tempi della liturgia.L’ingresso non presenta grossi problemi per disabili uditivi. In chiesa si è in attesa di pannelli descrittivi per cappella e altare.  Al secondo piano c’è’ l’oratorio dall’imponente architettura che ospita le esposizioni temporanee e il dipinto “Il transito della vergine” introdotto da pennelli di sala.
È possibile un approfondimento tramite QRcode e la storia del palazzo è scaricabile dal sito.
Disabilità motoria e difficoltà di movimento
Il complesso monumentale di Santa Maria della Vita nella sua globalità risulta essere accessibile, resta però interdetta alle persone in carrozzina o con gravi problemi alla mobilità la visita al famoso Compianto sul Cristo Morto di Niccolò dell’Arca.
Per raggiungere il gruppo scultoreo, collocato alla destra dell’altare, si incontrano 4 gradini consecutivi senza corrimano e non vi sono ausili per superarli.

Per maggiori informazioni consulta qui.";05119936329;;https://genusbononiae.it/palazzi/santa-maria-della-vita/;FestivitàAperto: Aperto ore 10-18:30 il 31 marzo, 1 e 25 aprile, 1 maggio, 2 giugnoChiuso: lunedì non festivi;10.00 - 18.30;10.00 - 18:30;10.00 - 18:30;10.00 - 18:30;10.00 - 18:30;10.00 - 18:30;10.00 - 18:30;44.493407, 11.344644
Chiesa dei Santi Gregorio e Siro;Via Montegrappa, 15 - 40121;44.495832;11.339341;771;La Chiesa dei SS. Gregorio e Sirio fu edificata nel centro storico di Bologna tra il 1532-1535. Nel 1780 in seguito ai danni riportati durante un violento terremoto vennero rifatte le volte e la facciata. All’interno opere di Camillo Procaccini, Lucio Massari, Calvart, Calvi e Carracci.;"La Chiesa dei SS. Gregorio e Siro sorse nel centro storico di Bologna nel 1532-1535 ad opera di Tibaldo Tibaldi e Giovanni Antonio da Milano. Nel 1780 in seguito ai danni prodotti da un violento terremoto furono rifatte le volte e la facciata da Angelo Venturoli. Sulla facciata dell'edificio appare lo stemma della famiglia Ghisilieri che qui abitò fino al 1445 e il campanile non è altro che la torre di famiglia ridotta a tale uso nel 1532 quando alcuni canonici ci fecero costruire accanto la chiesa. Modesta nell'aspetto esterno, la chiesa è invece ricca di opere d'arte all’interno, tra cui si possono ammirare alcuni capolavori di Camillo Procaccini, Lucio Massari, Calvart, Calvi e Carracci. Da ricordare inoltre che all'interno della chiesa è sepolta una delle personalità illustri di Bologna: il fisico e biologo Marcello Malpighi. Fonte: ""Guida Ricci Zucchini"" e Le Chiese di Bologna (L'Inchiostroblu)";Bologna;;Edifici Religiosi;;;;BO;;;+39 051 237953;;;"lunedì - sabato: 8.30 - 12.00 e 17.30 - 19.00; domenica: 9.30 - 12.30 e 17.30 - 19.15 (durante la settimana telefonare per conferma) Durante le funzioni religiose la visita turistica potrebbe essere limitata o sospesa. Gli orari potrebbero subire lievi modifiche. Per informazioni Curia Arcivescovile tel. 051 6480611";;;;;;;;44.495832, 11.339341
MAMbo - Museo d'Arte Moderna di Bologna;Via Don Minzoni 14 - 40121;44.502762;11.337026;814;Il Museo d'Arte Moderna di Bologna è cultura visiva e sperimentazione, traccia con la propria collezione permanente la storia del contemporaneo italiano, è ospite di nuove relazioni sul territorio e partecipa al network internazionale dell'arte contemporanea. Gratuito con Bologna Welcome Card;"Il MAMbo - Museo d’Arte Moderna di Bologna, inaugurato nel 2007, è parte dell'Area Arte Moderna e Contemporanea del Settore Musei Civici Bologna.Il museo, che ha sede nell'ex forno del pane, ripercorre la storia dell’arte italiana dal secondo dopoguerra a oggi ed è in continuo rinnovamento. Accanto alla Collezione Permanente, vengono organizzate ampie mostre monografiche dedicate a importanti artisti italiani e internazionali. Dal 2012, inoltre, il MAMbo ospita temporaneamente il Museo Morandi.Nella sezione ""Rilevamenti d'archivio. Le Settimane Internazionali della Performance e gli anni '60 e '70 a Bologna e in Emilia Romagna"", recentemente allestita all'interno del percorso espositivo, sono documentate le Settimane Internazionali della Performance che si tennero tra il 1977 e il 1982. Tra i 49 artisti che presero parte alla prima edizione del 1977 vi erano, tra gli altri, Marina Abramović e Ulay, Importanti artisti sono stati ospiti del MAMbo, come Marina Abramović e Ulay che nel 1977 che hanno dato vita a Imponderabilia. Durante questa performance i due artisti si posizionarono nudi, uno di fronte all'altro, all'ingresso del museo, costringendo i visitatori a sfregarsi contro di loro per poter entrare. Tra  le opere esposte si segnala Homage to the Hollywood Squares (featuring Bridget Riley) di Francesco Vezzoli (2008). In questo grande arazzo quadrato l'artista utilizza il medium tessile, presente nel suo lavoro fin dagli esordi, rielaborando con ironia i riferimenti alle composizioni optical di Bridget Riley e alle tessiture di Anni Albers.Nel Museo Morandi si può ammirare anche Fiori (1950), tema affrontato da Morandi nell’arco di tutta la sua ricerca artistica, preferendo progressivamente ai fiori freschi quelli essiccati o di seta; e Natura morta. Il Museo Morandi è la più ampia e rilevante collezione pubblica al mondo dedicata a Giorgio Morandi, con un patrimonio di oltre 250 opere tra dipinti, acquerelli, disegni e acqueforti. Il percorso espositivo analizza i temi e le stagioni della vicenda artistica di uno dei più grandi artisti internazionali del XX secolo.Il MAMbo presenta anche un Dipartimento educativo.Il museo MAMbo fa parte del circuito della Bologna Welcome Card. Per i possessori della Card l'accesso è gratuito.";Bologna;Palasport;Musei e Collezioni;;;;BO;;"Disabilità motoria e difficoltà di movimento
Il museo è sostanzialmente accessibile. Un po’ difficoltoso può risultare il passaggio dal secondo al terzo piano alle persone in carrozzina elettrica, che nella maggior parte dei casi saranno costrette a tornare al piano terra e prendere un secondo ascensore per proseguire la visita. Gli spazi consentono una capacità di movimento molto buona. Anche la fruizione delle opere esposte è ottima. Facilmente raggiungibili e fruibili anche la biblioteca, i laboratori didattici e la sala conferenze. I bagni attrezzati si trovano ad ogni piano.
 
 
Disabilità uditive
L’orientamento nel museo è reso esplicito con mappe disegnate sui muri, utilizzando colori diversi e testi ampi e molto leggibili. Anche la segnaletica interna al museo appare chiara e coerente e facilita la comprensione del museo da parte del visitatore. La comprensione delle opere necessita della mediazione del personale del museo, che appare comunque consapevole delle tematiche inerenti la disabilità e già in parte formato, nonché abituato ad accogliere gruppi di persone con disabilità. Non vi sono schede di sala e le didascalie sono minime, di fatto riportano solo il nome dell’artista e il titolo. Questa situazione, dichiarata come scelta ragionata dei curatori del museo, può condizionarne negativamente l’accessibilità. Quando sono presenti, le spiegazioni delle opere sono immediate ed efficaci. Nella sala per esposizioni temporanee manca un sistema di segnalazione scritta o luminosa di eventuali contributi sonori o musicali che siano parte integrante della mostra. I servizi sono al piano terra facilmente raggiungibili e segnalati. Non sono previste modalità di comunicazione visiva in caso di allarme sia nei bagni che in ascensore.
 
 
Disabilità visive
Il percorso espositivo permanente del MAMbo è in parte esplorabile tattilmente previa prenotazione di un accompagnatore del servizio didattico museale. Gli operatori dimostrano grande impegno nel supplire all’assenza di una formazione specifica per l’accoglienza dei disabili visivi.

Per maggiori informazioni consulta qui.";+39 051 6496611;info@mambo-bologna.org;http://www.mambo-bologna.org/;"FestivitàAperto: 31 marzo, 1 e 25 aprile
ore 10-19Chiuso: lunedì non festivi";;14-19;14-19;14 -20;10-19;10-19;10-19;44.502762, 11.337026
Villa Spada;Via di Casaglia 3 - 40135;44.488648;11.316025;881;La villa sorge sull'antica tenuta dei marchesi Zambeccari al posto dell'edificio denominato Casino Zambeccari le cui prime notizie risalgono al 1774. Dal 1990 la villa ospita il Museo del Tessuto e della Tappezzeria “Vittorio Zironi”;Villa Spada risale probabilmente alla fine del Settecento, il periodo in cui la tenuta apparteneva a Iacopo Zambeccari, che morì nel 1795. Fu poi acquistata nel 1820 dagli Spada, dei quali si può ancora ammirare lo stemma sulla facciata meridionale della villa.Negli anni ’60 del secolo scorso l’edificio passò al Comune di Bologna, che dal 1990 lo rese sede del Museo del Tessuto e della Tappezzeria “Vittorio Zironi”.;Bologna;Saragozza - San Luca;Torri, edifici storici;;;;BO;;;+39 051 2194528 / 2193916 (biglietteria Museo Civico Medievale);;http://www.museibologna.it/arteantica/luoghi/53004/offset/0/id/88019;"venerdì: ore 9.00 - 13.00
sabato e domenica: ore 10.00 - 18.30chiuso Natale, Capodanno, 1° maggio e festivi infrasettimanali
Accesso momentaneamente sospeso per sopralluoghi manutentivi straordinari";;;;;;;;44.488648, 11.316025
Parco della Chiusa Talon;Via Panoramica, 11 - 40033;44.473594;11.285639;906;Noto ai Casalecchiesi anche come Parco Talon, è costituito da quanto rimane dei possedimenti dei marchesi Sampieri Talon, che dal '600 costruirono ville e parco nei terreni di loro proprietà.;"Noto ai Casalecchiesi anche come Parco Talon, è costituito da quanto rimane dei possedimenti dei marchesi Sampieri Talon, che dal '600 costruirono ville (Villa Sampieri Talon) e parco nei terreni di loro proprietà; l'attuale struttura del parco lascia intuire l'originaria progettazione: attorno alle due ville si estendeva un ampio giardino, costruito secondo i canoni della scuola francese del Le Notre, poi un piccolo giardino all'italiana, infine un vasto parco all'inglese che apriva scorci suggestivi sul fiume e sui campi e sui vigneti circostanti. Completavano il quadro un laghetto, statue, chioschi, e ambientazioni esotiche, secondo i gusti dell'epoca. Dietro le ville, sul ripido versante della collina, si estende il bosco, riserva di caccia e di legname. Il parco ha conosciuto momenti di grande splendore mondano, in particolare nel '700, ed ha ospitato feste e personaggi celebri. Dal 1975 il parco è di proprietà comunale ed è stato aperto al pubblico, e anche se il tempo e la storia hanno inciso pesantemente, è ancora possibile immaginare gli antichi fasti nobiliari. Attualmente costituisce un inestimabile patrimonio pubblico, meta ogni giorno di centinaia di cittadini, con evidenze storiche e naturalistiche di grande valore. Il parco è attraversato dal Sentiero dei Bregoli.";Appennino;;Parchi e natura;;;;BO;<10 km;;+393668982707;info@visitcollibolognesi.it;http://www.parcodellachiusa.it;;;;;;;;;44.473594, 11.285639
Ponte della Bionda;Via dei Terraioli, 13 - 40129;44.538333;11.347551;919;Ponte Nuovo o Ponte della Bionda è un antico manufatto posto sul corso del canale Navile. Costruito alla fine del ‘600, consentiva il passaggio dei cavalli che trainavano verso la città i barconi che venivano dalla Bassa, a volte anche dal mare, poichè navigando sul Navile si poteva giungere all’Adriatico.;Ponte Nuovo o Ponte della Bionda è un antico manufatto posto sul corso del canale Navile. Costruito alla fine del ‘600, consentiva il passaggio dei cavalli che trainavano verso la città i barconi che venivano dalla Bassa, a volte anche dal mare, poichè navigando sul Navile si poteva giungere all’Adriatico. Ricostruite filologicamente alcune parti, rifatta la seliciata di sassi di fiume, il Ponte della Bionda è oggi divenuto meta delle passeggiate di molti bolognesi.;Bologna;;Piazze, vie, monumenti;;;;BO;;;334 3787219;info@pontedellabionda.org;http://www.pontedellabionda.org/;;;;;;;;;44.538333, 11.347551
Silver Lining Skatepark;c/o Centro Sportivo La Dozza - Via Romita, 2 - 40128;44.528283;11.367673;1017;Costruito nel 2004 è riconosciuto come una struttura di altissima qualità, in particolare la bowl si rivela essere di una velocità incredibile, grazie alle sue curve studiatissime. il full-pipe è, inoltre, il primo in Europa. Presso lo Skatepark si tengono corsi per tutte le età.;Impianto in cemento interamente costruito a mano, struttura unica in Europa e conosciuta in tutto il mondo per le sue caratteristiche di innovazione delle forme, considerata dagli addetti ai lavori la più completa e tecnica struttura europea riservata esclusivamente allo skateboarding. Costruita nel 2004 dagli americani di Dreamland Skateparks la struttura è riconosciuta di altissima qualità. La bowl si rivela essere di una velocità incredibile, grazie alle sue curve studiatissime. il full-pipe è, inoltre, il primo in Europa. Bologna Skateschool si occupa dal 2019 presso lo Skatepark di corsi di gruppo e lezioni per singoli allievi dai 4 anni per l'apprendimento dello skateboard in sicurezza con insegnanti FISR (Federazione Italiana Sport Rotellistici). Scheda tecnica Discipline: Skateboard Dimensione: 40 x 30 mt Caratteristiche del terreno: Cemento Accessibilità disabili spettatori: no Accessibilità disabili praticanti: no Posti in tribuna scoperta: 300;Bologna;;Luoghi di sport e motori;;;;BO;;;+393755238130;;https://bolognaskateschool.org/silver-lining-bologna-skatepark/;Se le condizioni meteo non consentono il suo utilizzo, lo skatepark rimane chiuso.Controlla sempre la scheda Google [Silver Lining Skatepark] o Instagram [silverliningskatepark] per sapere se è aperto.;Chiuso;15.00 – 18.00;15.00 – 18.00;15.00 – 18.00;15.00 – 18.00;14.00 - 18.00;14.00 - 18.00;44.528283, 11.367673
Teatro San Salvatore;Via Volto Santo 1 - 40123;44.493738;11.339461;1027;Teatro di circa 100 posti risalente al 1520, situato all'interno dell'imponente complesso conventuale di San Salvatore.;Teatro storico di circa 100 posti a cui si accede da uno dei chiostri all'interno dell'imponente complesso conventuale di San Salvatore. Risalente al 1520, il teatro ha il soffitto a cassettoni di legno con vivaci intagli rossi e blu. Il palcoscenico è incorniciato da decori con nastri e simboli musicali e alle pareti si trovano tracce di affreschi cinquecenteschi del Bagnacavallo.;Bologna;Piazza Maggiore - Indipendenza;Cinema e Teatri;;;;BO;;;+39 3343440177;teatrosansalvatore@gmail.com;http://teatrosansalvatore.wix.com/teatrosansalvatore;;;;;;;;;44.493738, 11.339461
La Piazzola;Piazza VIII Agosto, 40126;44.500333;11.345324;1034;Mercato settimanale della città di Bologna con oltre 400 ambulanti che si tiene ogni venerdì e sabato in piazza VIII Agosto, dove già nel 1251 si allestiva il mercato del bestiame. La Piazzola è Mercato Storico dell’Emilia Romagna.;Nel Parco della Montagnola e nella Piazza VIII Agosto, dove già nel 1251 si allestiva il mercato del bestiame, ogni venerdì e sabato (dall'alba al tramonto) c'è un mercato settimanale fra i più particolari d’Italia e dichiarato Mercato Storico dell'Emilia Romagna: è la Piazzola. Più di 400 bancarelle dove si può trovare di tutto, dalle cose più banali alle cose più stravaganti. Un emporio popolare chiassoso in cui si assiste ad uno spettacolo multicolore: sulla collina, imbevute di incensi profumati, ci sono bancarelle piene di stock anni '60, vestiti usati, giacche di pelle di seconda mano, abiti e accessori militari, guanti e berretti batik, lampade dalle luci sfumate e stoffe colorate. Di bello e soprattutto per i giovani qui si possono trovare vestiti gotici e giapponesi, magliette e felpe dei gruppi rock e metal. In piazza VIII agosto, subito sotto la collina, invece un vero e proprio tripudio di vestiti alla moda, scarpe e accessori, fiori, monili, vasellame, il tutto però ad un prezzo stracciato. La Piazzola è l'appuntamento settimanale per chi ama il vero sapore del mercato: il brulicare della gente che accorre da tutta la provincia, il frugare fra i mucchi di maglie, scarpe, lenzuola e padelle, esposti sui banchi, il contrattare sull'acquisto di 2, 3, 5 pezzi, il contatto umano, la battuta scherzosa, la filosofia di vita dei commercianti da strada.;Bologna;;Luoghi di shopping;;;;BO;;;+393479676879;lapiazzola@libero.it;;Il mercato si svolge tutto l'anno ogni venerdì e sabato (eccetto se coincidenti con alcune festività) dal mattino presto al tramonto.;;;;;;;;44.500333, 11.345324
Mercato delle Erbe;Via Ugo Bassi, 25, 40121;44.495709;11.337862;1069;E' il mercato coperto più grande del centro storico dove è possibile trovare frutta e verdura, carne, formaggi, salumi, vini, pesce e altro ancora. Nel 2014 si è trasformato in alcune sue aree, dedicando spazio alla ristorazione.;Il Mercato delle Erbe è il mercato coperto più grande del centro storico di Bologna, dove è possibile trovare frutta e verdura, carne, formaggi, salumi, vini, pesce e altro ancora. Nel 2014 il mercato si è trasformato in alcune sue aree, dedicando spazio alla ristorazione. Fin dagli inizi del secolo il mercato delle erbe, cioè degli ortaggi, si teneva in piazza de' Marchi di fianco alla chiesa di San Francesco. Nel 1910, quando il Comune ebbe bisogno dello spazio occupato dal mercato, fece costruire l'attuale mercato coperto in fondo a via Ugo Bassi. Il nuovo Mercato delle Erbe ebbe il compito di alleggerire le piazze Malpighi e San Francesco che ospitavano settimanalmente i banchi dei contadini. L'edificio fu progettato da Filippo Buriani e Arturo Carpi, trasformando la caserma San Gervaso, a sua volta ottenuta dal locale precedentemente adibito a luogo di culto, la Chiesa di S.S. Gervaso e Protasio, edificata nel 401 da San Felice. Nel 1949, fu inaugurato il nuovo Mercato delle Erbe in via Ugo Bassi, ricostruito in seguito alle devastazioni belliche. Il mercato delle Erbe è stato riconosciuto mercato storico con la delibera del Consiglio Comunale Pg. n. 290088/08.;Bologna;;Luoghi di shopping;;;;BO;;;+39 051 230186;info@mercatodelleerbe.eu;http://www.mercatodelleerbe.eu;abituali orari di apertura dei negozi. Info: www.mercatodelleerbe.eu;;;;;;;;44.495709, 11.337862
San Giuseppe Colors;Via e piazzetta San Giuseppe, 40121,;44.500094;11.343364;1072;Mercatino di articoli d'artigianato artistico.;Il mercato di San Giuseppe Colors è un mercatino di articoli d'artigianato che si tiene in via e Piazza S. Giuseppe.;Bologna;;Luoghi di shopping;;;;BO;;;;;http://www.sangiuseppecolor.it/;"Il mercato si svolge dal mattino al tramonto,  secondo un calendario definito annualmente (abitualmente sospeso gennaio, agosto)
CALENDARIO 2023";;;;;;;;44.500094, 11.343364
Centro Commerciale - Centro Borgo;Via M.E.Lepido, 186 - 40132;44.520284;11.264741;1079;Il Centro Borgo, aperto nel 1989, è il centro commerciale storico di Bologna.;Il Centro Borgo, aperto nel 1989, è il centro commerciale storico di Bologna. Il centro sorge nella parte occidentale della città, nel quartiere di Borgo Panigale, caratterizzato da un'alta densità di residenti e di attività terziarie ed industriali. Il testo è tratto dal sito del Centro Borgo;Bologna;;Luoghi di shopping;;;;BO;;;+39 051 413 1011;info@centroborgo.com;http://www.centrocommercialeborgo.it/;Per conoscere gli orari dei singoli esercizi e le aperture straordinarie consultare il sito web;;;;;;;;44.520284, 11.264741
Centro Commerciale Le Piazze;via Pio La Torre 5/D, 40013;44.568971;11.357617;1088;Le Piazze Castel Maggiore è un progetto innovativo che unisce in un unico complesso servizi, negozi, ristorazione, attività per il tempo libero.;Le Piazze Castel Maggiore è un progetto innovativo che unisce in un unico complesso servizi, negozi, ristorazione, attività per il tempo libero, con uffici e spazi lavorativi. 1500 posti auto completamente gratuiti e alta facilità a raggiungere il Lifestyle.;Pianura;;Luoghi di shopping;;;;BO;;;+39 051 705722;info@lepiazzecastelmaggiore.com;http://www.lepiazzecastelmaggiore.it/;Per conoscere gli orari dei singoli esercizi e le aperture straordinarie consultare il sito web;;;;;;;;44.568971, 11.357617
Outlets - Castel Guelfo The Style;Via del Commercio 4/2, 40023;44.433207;11.607318;1093;Castel Guelfo The Style Outlets è un punto d'incontro tra qualità, stile e convenienza;Castel Guelfo The Style Outlets è un punto d'incontro tra qualità, stile e convenienza, con oltre 100 negozi di marchi prestigiosi con sconti dal 30% al 70% tutto l'anno. Inoltre Castel Guelfo The Style Outlets ospita mostre d'arte, tanti eventi e iniziative pensati per coinvolgere tutta la famiglia. Testo tratto dal sito ufficiale di Castel Guelfo The Style Outlets;Bologna;;Luoghi di shopping;;;;BO;;;+39 0542 670765;info.castelguelfo@thestyleoutlets.it;https://castel-guelfo.thestyleoutlets.it/it;Per conoscere gli orari dei singoli esercizi e le aperture straordinarie consultare il sito web;;;;;;;;44.433207, 11.607318
Fiera di Santa Lucia;Strada Maggiore (portico monumentale della Chiesa dei Servi) -;44.491539;11.352772;1105;Mercatino di Natale che si svolge ogni anno sotto il portico monumentale della Chiesa dei Servi, con un vasto assortimento di articoli per il Presepe, addobbi natalizi, dolciumi e articoli da regalo.;"In occasione della tradizionale Antica Fiera di Santa Lucia, il portico monumentale della Chiesa dei Servi si anima di bancarelle che offrono ai visitatori articoli per il Presepe, addobbi di Natale, dolciumi e articoli da regalo.
MERCATINI DI NATALE A BOLOGNA";Bologna;;Luoghi di shopping;;;;BO;;;;sportelloimprese@comune.bologna.it;https://www.facebook.com/fieradisantalucia/;Apertura 2023: 10 novembre - 26 dicembreOrario di apertura: dalle 9.00 alle 20.00 circa;;;;;;;;44.491539, 11.352772
Teatro del Navile;Via Marescalchi, 2/b - 40123;44.492974;11.341281;1113;Il Teatro del Navile è situato a pochi passi da Piazza Maggiore. Dispone di uno spazio teatrale di 80 posti per il teatro di prosa e della galleria Spazio Arte.;Il Teatro del Navile è situato a pochi passi da Piazza Maggiore. Dispone di uno spazio teatrale di 80 posti per il teatro di prosa e della galleria Spazio Arte.;Bologna;Piazza Maggiore - Indipendenza;Cinema e Teatri;;;;BO;;;+39 051224243;teatrodelnavile@gmail.com;http://www.teatrodelnavile.org;;;;;;;;;44.492974, 11.341281
